device_id,device_window_index,window_start,window_end,source_anomaly_label,sequence_length,reconstruction_error,threshold,error_margin,predicted_anomaly,top_error_feature,top_error_timestep_offset,feature_error_cpu,feature_error_memory,feature_error_in_octets,feature_error_out_octets,feature_error_errors,detection_basis
dev_0,10,2025-01-01 00:50:00,2025-01-01 01:35:00,0,10,0.009778024,0.016955720726400614,-0.007177697028964758,0,memory,7,0.004559043,0.027978426,0.004028812,0.007848608,0.004475223,error 0.009778 stayed below threshold 0.016956; highest contribution from memory at window step 7
dev_0,11,2025-01-01 00:55:00,2025-01-01 01:40:00,0,10,0.009925611,0.016955720726400614,-0.007030109409242868,0,memory,4,0.005749628,0.027725514,0.0045231828,0.006975986,0.004653744,error 0.009926 stayed below threshold 0.016956; highest contribution from memory at window step 4
dev_0,12,2025-01-01 01:00:00,2025-01-01 01:45:00,0,10,0.0095727,0.016955720726400614,-0.007383021060377359,0,memory,5,0.0033981814,0.025065687,0.004663095,0.00920848,0.00552806,error 0.009573 stayed below threshold 0.016956; highest contribution from memory at window step 5
dev_0,13,2025-01-01 01:05:00,2025-01-01 01:50:00,0,10,0.009244607,0.016955720726400614,-0.0077111138962209225,0,memory,4,0.0054383865,0.026381329,0.0025447176,0.0074833594,0.0043752394,error 0.009245 stayed below threshold 0.016956; highest contribution from memory at window step 4
dev_0,14,2025-01-01 01:10:00,2025-01-01 01:55:00,0,10,0.008746891,0.016955720726400614,-0.008208829443901777,0,memory,3,0.010178534,0.022530746,0.002471746,0.0046423906,0.00391104,error 0.008747 stayed below threshold 0.016956; highest contribution from memory at window step 3
dev_0,15,2025-01-01 01:15:00,2025-01-01 02:00:00,0,10,0.0075721997,0.016955720726400614,-0.009383521042764187,0,memory,3,0.0073215505,0.01331581,0.0027485013,0.00402345,0.010451686,error 0.007572 stayed below threshold 0.016956; highest contribution from memory at window step 3
dev_0,16,2025-01-01 01:20:00,2025-01-01 02:05:00,0,10,0.009153574,0.016955720726400614,-0.007802146952599287,0,errors,8,0.0065232054,0.013317069,0.0027002827,0.003924144,0.019303167,error 0.009154 stayed below threshold 0.016956; highest contribution from errors at window step 8
dev_0,17,2025-01-01 01:25:00,2025-01-01 02:10:00,0,10,0.008667127,0.016955720726400614,-0.008288593497127295,0,errors,7,0.0062275347,0.010269633,0.0026839671,0.0036583222,0.02049618,error 0.008667 stayed below threshold 0.016956; highest contribution from errors at window step 7
dev_0,18,2025-01-01 01:30:00,2025-01-01 02:15:00,0,10,0.009560929,0.016955720726400614,-0.007394792046397924,0,errors,6,0.007861038,0.008398785,0.0027740614,0.006596408,0.022174349,error 0.009561 stayed below threshold 0.016956; highest contribution from errors at window step 6
dev_0,19,2025-01-01 01:35:00,2025-01-01 02:20:00,0,10,0.008798285,0.016955720726400614,-0.008157435338944197,0,errors,5,0.008740479,0.0044842497,0.004302104,0.006568853,0.019895742,error 0.008798 stayed below threshold 0.016956; highest contribution from errors at window step 5
dev_0,20,2025-01-01 01:40:00,2025-01-01 02:25:00,0,10,0.009640311,0.016955720726400614,-0.0073154098354279995,0,errors,4,0.009395967,0.004314649,0.0066894293,0.0070951832,0.020706326,error 0.009640 stayed below threshold 0.016956; highest contribution from errors at window step 4
dev_0,21,2025-01-01 01:45:00,2025-01-01 02:30:00,0,10,0.010538706,0.016955720726400614,-0.006417015101760626,0,errors,3,0.013570425,0.0040367884,0.008177174,0.005764687,0.021144452,error 0.010539 stayed below threshold 0.016956; highest contribution from errors at window step 3
dev_0,22,2025-01-01 01:50:00,2025-01-01 02:35:00,0,10,0.010914786,0.016955720726400614,-0.006040934938937426,0,errors,2,0.013695386,0.0044085225,0.008897897,0.0061297948,0.02144233,error 0.010915 stayed below threshold 0.016956; highest contribution from errors at window step 2
dev_0,23,2025-01-01 01:55:00,2025-01-01 02:40:00,0,10,0.013113246,0.016955720726400614,-0.003842474427074194,0,errors,1,0.016146954,0.01162652,0.008891855,0.0066652657,0.022235636,error 0.013113 stayed below threshold 0.016956; highest contribution from errors at window step 1
dev_0,24,2025-01-01 02:00:00,2025-01-01 02:45:00,0,10,0.012366597,0.016955720726400614,-0.004589124117046595,0,errors,1,0.016617978,0.00917004,0.009803014,0.0074081547,0.018833792,error 0.012367 stayed below threshold 0.016956; highest contribution from errors at window step 1
dev_0,25,2025-01-01 02:05:00,2025-01-01 02:50:00,0,10,0.012373515,0.016955720726400614,-0.004582205321639776,0,errors,8,0.0126744015,0.015618363,0.01006025,0.0074652866,0.016049277,error 0.012374 stayed below threshold 0.016956; highest contribution from errors at window step 8
dev_0,26,2025-01-01 02:10:00,2025-01-01 02:55:00,0,10,0.013254201,0.016955720726400614,-0.003701519686728716,0,memory,7,0.014647668,0.022745324,0.010359829,0.00809803,0.010420156,error 0.013254 stayed below threshold 0.016956; highest contribution from memory at window step 7
dev_0,27,2025-01-01 02:15:00,2025-01-01 03:00:00,0,10,0.012946245,0.016955720726400614,-0.004009475465863943,0,memory,6,0.014452917,0.021172257,0.011291948,0.00810972,0.009704391,error 0.012946 stayed below threshold 0.016956; highest contribution from memory at window step 6
dev_0,28,2025-01-01 02:20:00,2025-01-01 03:05:00,0,10,0.012900803,0.016955720726400614,-0.004054917488247156,0,memory,6,0.012327362,0.024011808,0.013348688,0.0052743996,0.009541756,error 0.012901 stayed below threshold 0.016956; highest contribution from memory at window step 6
dev_0,29,2025-01-01 02:25:00,2025-01-01 03:10:00,0,10,0.012315436,0.016955720726400614,-0.004640284460037947,0,memory,5,0.014403005,0.023649547,0.01023882,0.0050103567,0.008275455,error 0.012315 stayed below threshold 0.016956; highest contribution from memory at window step 5
dev_0,30,2025-01-01 02:30:00,2025-01-01 03:15:00,0,10,0.012364205,0.016955720726400614,-0.004591515753418207,0,memory,4,0.018170271,0.01978622,0.00978681,0.0052938694,0.008783857,error 0.012364 stayed below threshold 0.016956; highest contribution from memory at window step 4
dev_0,31,2025-01-01 02:35:00,2025-01-01 03:20:00,0,10,0.010396562,0.016955720726400614,-0.006559159141033888,0,memory,3,0.011602364,0.019678442,0.0074124127,0.0045896117,0.0086999815,error 0.010397 stayed below threshold 0.016956; highest contribution from memory at window step 3
dev_0,32,2025-01-01 02:40:00,2025-01-01 03:25:00,0,10,0.013101219,0.016955720726400614,-0.0038545015268027782,0,memory,2,0.009618556,0.030586073,0.0071800635,0.004829683,0.013291719,error 0.013101 stayed below threshold 0.016956; highest contribution from memory at window step 2
dev_0,33,2025-01-01 02:45:00,2025-01-01 03:30:00,0,10,0.011449515,0.016955720726400614,-0.005506205838173628,0,memory,1,0.011144862,0.025310189,0.008694723,0.00256593,0.009531868,error 0.011450 stayed below threshold 0.016956; highest contribution from memory at window step 1
dev_0,34,2025-01-01 02:50:00,2025-01-01 03:35:00,0,10,0.009125781,0.016955720726400614,-0.007829939480870962,0,memory,7,0.01011126,0.017166635,0.006957649,0.0038004958,0.007592863,error 0.009126 stayed below threshold 0.016956; highest contribution from memory at window step 7
dev_0,35,2025-01-01 02:55:00,2025-01-01 03:40:00,0,10,0.00848965,0.016955720726400614,-0.008466070983558893,0,memory,6,0.00827964,0.019135615,0.0055793524,0.004103865,0.005349777,error 0.008490 stayed below threshold 0.016956; highest contribution from memory at window step 6
dev_0,36,2025-01-01 03:00:00,2025-01-01 03:45:00,0,10,0.0064662634,0.016955720726400614,-0.010489457286894321,0,memory,5,0.00817405,0.010793598,0.0053224624,0.005038147,0.0030030569,error 0.006466 stayed below threshold 0.016956; highest contribution from memory at window step 5
dev_0,37,2025-01-01 03:05:00,2025-01-01 03:50:00,0,10,0.0066933553,0.016955720726400614,-0.010262365452945232,0,memory,4,0.009155156,0.009633349,0.0064838305,0.0053882403,0.0028061997,error 0.006693 stayed below threshold 0.016956; highest contribution from memory at window step 4
dev_0,38,2025-01-01 03:10:00,2025-01-01 03:55:00,0,10,0.0060668485,0.016955720726400614,-0.0108888722024858,0,memory,3,0.007817416,0.010782888,0.0046588513,0.004665642,0.0024094477,error 0.006067 stayed below threshold 0.016956; highest contribution from memory at window step 3
dev_0,39,2025-01-01 03:15:00,2025-01-01 04:00:00,0,10,0.005665319,0.016955720726400614,-0.011290401685982943,0,memory,2,0.006816951,0.007899015,0.00466725,0.0057123797,0.0032309983,error 0.005665 stayed below threshold 0.016956; highest contribution from memory at window step 2
dev_0,40,2025-01-01 03:20:00,2025-01-01 04:05:00,0,10,0.006833466,0.016955720726400614,-0.010122254956513643,0,memory,1,0.008273749,0.008694948,0.006112071,0.0057390127,0.0053475476,error 0.006833 stayed below threshold 0.016956; highest contribution from memory at window step 1
dev_0,41,2025-01-01 03:25:00,2025-01-01 04:10:00,0,10,0.0064197984,0.016955720726400614,-0.01053592236712575,0,cpu,8,0.0105839055,0.0049350476,0.00507737,0.005470694,0.0060319738,error 0.006420 stayed below threshold 0.016956; highest contribution from cpu at window step 8
dev_0,42,2025-01-01 03:30:00,2025-01-01 04:15:00,0,10,0.006995006,0.016955720726400614,-0.009960714727640152,0,errors,8,0.00975725,0.0033557129,0.0057717995,0.00534894,0.010741328,error 0.006995 stayed below threshold 0.016956; highest contribution from errors at window step 8
dev_0,43,2025-01-01 03:35:00,2025-01-01 04:20:00,0,10,0.007392696,0.016955720726400614,-0.009563024621456861,0,cpu,7,0.012250396,0.004645136,0.006050599,0.0034504603,0.010566889,error 0.007393 stayed below threshold 0.016956; highest contribution from cpu at window step 7
dev_0,44,2025-01-01 03:40:00,2025-01-01 04:25:00,0,10,0.0077205626,0.016955720726400614,-0.00923515809699893,0,cpu,7,0.016513517,0.0027623582,0.0066554747,0.004055799,0.00861566,error 0.007721 stayed below threshold 0.016956; highest contribution from cpu at window step 7
dev_0,45,2025-01-01 03:45:00,2025-01-01 04:30:00,0,10,0.008615533,0.016955720726400614,-0.008340187836438417,0,cpu,6,0.019070221,0.0019672504,0.006445893,0.0052775284,0.010316771,error 0.008616 stayed below threshold 0.016956; highest contribution from cpu at window step 6
dev_0,46,2025-01-01 03:50:00,2025-01-01 04:35:00,0,10,0.01000799,0.016955720726400614,-0.0069477311335504055,0,cpu,5,0.020571057,0.0028150305,0.005618426,0.0040320987,0.017003333,error 0.010008 stayed below threshold 0.016956; highest contribution from cpu at window step 5
dev_0,47,2025-01-01 03:55:00,2025-01-01 04:40:00,0,10,0.010052193,0.016955720726400614,-0.006903527770191431,0,cpu,4,0.019221667,0.006150807,0.0054388368,0.0034429792,0.016006682,error 0.010052 stayed below threshold 0.016956; highest contribution from cpu at window step 4
dev_0,48,2025-01-01 04:00:00,2025-01-01 04:45:00,0,10,0.009433628,0.016955720726400614,-0.007522092666476965,0,cpu,3,0.018180434,0.004970065,0.005249502,0.0043801195,0.01438802,error 0.009434 stayed below threshold 0.016956; highest contribution from cpu at window step 3
dev_0,49,2025-01-01 04:05:00,2025-01-01 04:50:00,0,10,0.011443447,0.016955720726400614,-0.005512273404747248,0,cpu,1,0.020070199,0.010696556,0.0051663704,0.0049763983,0.016307708,error 0.011443 stayed below threshold 0.016956; highest contribution from cpu at window step 1
dev_0,50,2025-01-01 04:10:00,2025-01-01 04:55:00,0,10,0.011936134,0.016955720726400614,-0.0050195869989693165,0,cpu,1,0.02066702,0.01979704,0.0037109267,0.0043820245,0.011123652,error 0.011936 stayed below threshold 0.016956; highest contribution from cpu at window step 1
dev_0,51,2025-01-01 04:15:00,2025-01-01 05:00:00,0,10,0.011343523,0.016955720726400614,-0.005612197797745466,0,cpu,7,0.019603636,0.019381754,0.0048353923,0.0037035798,0.009193255,error 0.011344 stayed below threshold 0.016956; highest contribution from cpu at window step 7
dev_0,52,2025-01-01 04:20:00,2025-01-01 05:05:00,0,10,0.009249267,0.016955720726400614,-0.007706453558057547,0,memory,6,0.010501981,0.019032205,0.005669967,0.003086041,0.007956145,error 0.009249 stayed below threshold 0.016956; highest contribution from memory at window step 6
dev_0,53,2025-01-01 04:25:00,2025-01-01 05:10:00,0,10,0.009739159,0.016955720726400614,-0.0072165620513260365,0,memory,5,0.011033214,0.019738704,0.006212753,0.0031506605,0.008560462,error 0.009739 stayed below threshold 0.016956; highest contribution from memory at window step 5
dev_0,54,2025-01-01 04:30:00,2025-01-01 05:15:00,0,10,0.009672025,0.016955720726400614,-0.007283695507794619,0,memory,4,0.012151104,0.019261027,0.0045522866,0.0053546033,0.007041103,error 0.009672 stayed below threshold 0.016956; highest contribution from memory at window step 4
dev_0,55,2025-01-01 04:35:00,2025-01-01 05:20:00,0,10,0.009132506,0.016955720726400614,-0.007823214400559664,0,memory,3,0.008104745,0.02059561,0.0052695484,0.0058620125,0.0058306158,error 0.009133 stayed below threshold 0.016956; highest contribution from memory at window step 3
dev_0,56,2025-01-01 04:40:00,2025-01-01 05:25:00,0,10,0.009127001,0.016955720726400614,-0.007828719448298216,0,memory,2,0.007940432,0.01873325,0.007840185,0.0063278996,0.0047932426,error 0.009127 stayed below threshold 0.016956; highest contribution from memory at window step 2
dev_0,57,2025-01-01 04:45:00,2025-01-01 05:30:00,0,10,0.009645487,0.016955720726400614,-0.007310233544558287,0,memory,1,0.00912518,0.019545924,0.0067073936,0.006274478,0.0065744594,error 0.009645 stayed below threshold 0.016956; highest contribution from memory at window step 1
dev_0,58,2025-01-01 04:50:00,2025-01-01 05:35:00,0,10,0.009387201,0.016955720726400614,-0.007568520028144121,0,memory,1,0.007671906,0.016394898,0.007632417,0.0072492943,0.007987486,error 0.009387 stayed below threshold 0.016956; highest contribution from memory at window step 1
dev_0,59,2025-01-01 04:55:00,2025-01-01 05:40:00,0,10,0.008044219,0.016955720726400614,-0.008911502081900835,0,memory,8,0.0052137924,0.012200175,0.0066746073,0.008939842,0.007192676,error 0.008044 stayed below threshold 0.016956; highest contribution from memory at window step 8
dev_0,60,2025-01-01 05:00:00,2025-01-01 05:45:00,0,10,0.007835827,0.016955720726400614,-0.00911989388987422,0,memory,7,0.00475045,0.00949437,0.008441778,0.009232562,0.007259971,error 0.007836 stayed below threshold 0.016956; highest contribution from memory at window step 7
dev_0,61,2025-01-01 05:05:00,2025-01-01 05:50:00,0,10,0.009298367,0.016955720726400614,-0.007657353300601244,0,memory,6,0.0059185005,0.014824991,0.010265095,0.0077000805,0.00778317,error 0.009298 stayed below threshold 0.016956; highest contribution from memory at window step 6
dev_0,62,2025-01-01 05:10:00,2025-01-01 05:55:00,0,10,0.011331261,0.016955720726400614,-0.005624459590762854,0,memory,8,0.0077150553,0.02592599,0.007343138,0.0065220706,0.009150051,error 0.011331 stayed below threshold 0.016956; highest contribution from memory at window step 8
dev_0,63,2025-01-01 05:15:00,2025-01-01 06:00:00,0,10,0.011292367,0.016955720726400614,-0.005663353484123945,0,memory,7,0.0064669987,0.025969684,0.0070296437,0.0069505847,0.010044924,error 0.011292 stayed below threshold 0.016956; highest contribution from memory at window step 7
dev_0,64,2025-01-01 05:20:00,2025-01-01 06:05:00,0,10,0.011420673,0.016955720726400614,-0.005535047966986895,0,memory,6,0.0113183465,0.025841719,0.0070132725,0.0035627708,0.009367253,error 0.011421 stayed below threshold 0.016956; highest contribution from memory at window step 6
dev_0,65,2025-01-01 05:25:00,2025-01-01 06:10:00,0,10,0.009442451,0.016955720726400614,-0.007513269316405058,0,memory,5,0.010055928,0.01616088,0.007316067,0.004029307,0.009650072,error 0.009442 stayed below threshold 0.016956; highest contribution from memory at window step 5
dev_0,66,2025-01-01 05:30:00,2025-01-01 06:15:00,0,10,0.010822808,0.016955720726400614,-0.00613291235640645,0,memory,4,0.0129123675,0.018818691,0.0092513105,0.0043245926,0.00880708,error 0.010823 stayed below threshold 0.016956; highest contribution from memory at window step 4
dev_0,67,2025-01-01 05:35:00,2025-01-01 06:20:00,0,10,0.011434945,0.016955720726400614,-0.005520775448530912,0,memory,3,0.013408986,0.022295099,0.0102823125,0.0053692334,0.005819097,error 0.011435 stayed below threshold 0.016956; highest contribution from memory at window step 3
dev_0,68,2025-01-01 05:40:00,2025-01-01 06:25:00,0,10,0.011188707,0.016955720726400614,-0.0057670134119689465,0,memory,1,0.014187256,0.021762887,0.010331758,0.0036606428,0.0060009947,error 0.011189 stayed below threshold 0.016956; highest contribution from memory at window step 1
dev_0,69,2025-01-01 05:45:00,2025-01-01 06:30:00,0,10,0.010735274,0.016955720726400614,-0.0062204464338719845,0,memory,1,0.013972299,0.020528995,0.010216416,0.004924368,0.0040342985,error 0.010735 stayed below threshold 0.016956; highest contribution from memory at window step 1
dev_0,70,2025-01-01 05:50:00,2025-01-01 06:35:00,0,10,0.0099828085,0.016955720726400614,-0.006972912233322859,0,cpu,1,0.017159944,0.015064627,0.0066095674,0.0048875026,0.0061924024,error 0.009983 stayed below threshold 0.016956; highest contribution from cpu at window step 1
dev_0,71,2025-01-01 05:55:00,2025-01-01 06:40:00,0,10,0.009094633,0.016955720726400614,-0.007861087564378977,0,cpu,2,0.018448412,0.012136387,0.00787251,0.004244973,0.0027708828,error 0.009095 stayed below threshold 0.016956; highest contribution from cpu at window step 2
dev_0,72,2025-01-01 06:00:00,2025-01-01 06:45:00,0,10,0.008602666,0.016955720726400614,-0.008353054989129305,0,cpu,7,0.014837965,0.009389508,0.008531486,0.0074647577,0.0027896091,error 0.008603 stayed below threshold 0.016956; highest contribution from cpu at window step 7
dev_0,73,2025-01-01 06:05:00,2025-01-01 06:50:00,0,10,0.00831103,0.016955720726400614,-0.00864469027146697,0,cpu,2,0.014075547,0.011391332,0.0075358413,0.0065430976,0.0020093317,error 0.008311 stayed below threshold 0.016956; highest contribution from cpu at window step 2
dev_0,74,2025-01-01 06:10:00,2025-01-01 06:55:00,0,10,0.0072814673,0.016955720726400614,-0.009674253407865763,0,cpu,5,0.013914367,0.009928065,0.0059655593,0.004454899,0.0021444417,error 0.007281 stayed below threshold 0.016956; highest contribution from cpu at window step 5
dev_0,75,2025-01-01 06:15:00,2025-01-01 07:00:00,0,10,0.006573863,0.016955720726400614,-0.010381857864558697,0,cpu,4,0.012384863,0.008617074,0.005776411,0.0042142635,0.0018767066,error 0.006574 stayed below threshold 0.016956; highest contribution from cpu at window step 4
dev_0,76,2025-01-01 06:20:00,2025-01-01 07:05:00,0,10,0.0071533825,0.016955720726400614,-0.00980233820155263,0,memory,3,0.012245227,0.01321688,0.0039217058,0.0045252875,0.0018578122,error 0.007153 stayed below threshold 0.016956; highest contribution from memory at window step 3
dev_0,77,2025-01-01 06:25:00,2025-01-01 07:10:00,0,10,0.0074579553,0.016955720726400614,-0.009497765451669693,0,cpu,2,0.013453087,0.012581943,0.0038259036,0.0036750182,0.0037538246,error 0.007458 stayed below threshold 0.016956; highest contribution from cpu at window step 2
dev_0,78,2025-01-01 06:30:00,2025-01-01 07:15:00,0,10,0.00857746,0.016955720726400614,-0.008378260303288698,0,cpu,6,0.020453585,0.012950093,0.0027639926,0.0040108147,0.0027088192,error 0.008577 stayed below threshold 0.016956; highest contribution from cpu at window step 6
dev_0,79,2025-01-01 06:35:00,2025-01-01 07:20:00,0,10,0.008874707,0.016955720726400614,-0.008081013802438974,0,cpu,8,0.020478256,0.016516495,0.0025645136,0.003004388,0.0018098801,error 0.008875 stayed below threshold 0.016956; highest contribution from cpu at window step 8
dev_0,80,2025-01-01 06:40:00,2025-01-01 07:25:00,0,10,0.00900228,0.016955720726400614,-0.007953440304845572,0,cpu,6,0.02067269,0.016780924,0.001897481,0.0029197491,0.0027405575,error 0.009002 stayed below threshold 0.016956; highest contribution from cpu at window step 6
dev_0,81,2025-01-01 06:45:00,2025-01-01 07:30:00,0,10,0.009160963,0.016955720726400614,-0.007794757839292288,0,cpu,5,0.020606602,0.016226783,0.0039347345,0.0028564853,0.0021802105,error 0.009161 stayed below threshold 0.016956; highest contribution from cpu at window step 5
dev_0,82,2025-01-01 06:50:00,2025-01-01 07:35:00,0,10,0.010088708,0.016955720726400614,-0.006867012474685907,0,cpu,4,0.022247698,0.016600685,0.0041372045,0.003559656,0.0038982998,error 0.010089 stayed below threshold 0.016956; highest contribution from cpu at window step 4
dev_0,83,2025-01-01 06:55:00,2025-01-01 07:40:00,0,10,0.010487643,0.016955720726400614,-0.006468077655881643,0,cpu,1,0.01954963,0.01694815,0.008783253,0.0040138066,0.0031433776,error 0.010488 stayed below threshold 0.016956; highest contribution from cpu at window step 1
dev_0,84,2025-01-01 07:00:00,2025-01-01 07:45:00,0,10,0.012203505,0.016955720726400614,-0.004752215463668108,0,cpu,6,0.020561174,0.018018048,0.010429251,0.0058791093,0.006129943,error 0.012204 stayed below threshold 0.016956; highest contribution from cpu at window step 6
dev_0,85,2025-01-01 07:05:00,2025-01-01 07:50:00,0,10,0.010985177,0.016955720726400614,-0.0059705437161028385,0,cpu,5,0.02356496,0.011491557,0.010670321,0.0049055074,0.004293536,error 0.010985 stayed below threshold 0.016956; highest contribution from cpu at window step 5
dev_0,86,2025-01-01 07:10:00,2025-01-01 07:55:00,0,10,0.010896984,0.016955720726400614,-0.0060587371699512005,0,cpu,4,0.025606114,0.010457434,0.010187719,0.004120891,0.0041127587,error 0.010897 stayed below threshold 0.016956; highest contribution from cpu at window step 4
dev_0,87,2025-01-01 07:15:00,2025-01-01 08:00:00,0,10,0.010108502,0.016955720726400614,-0.006847219076007605,0,cpu,6,0.014228131,0.012633944,0.010627523,0.0072025927,0.0058503123,error 0.010109 stayed below threshold 0.016956; highest contribution from cpu at window step 6
dev_0,88,2025-01-01 07:20:00,2025-01-01 08:05:00,0,10,0.009897289,0.016955720726400614,-0.0070584318600595,0,cpu,5,0.014372553,0.011335859,0.0101778675,0.007177239,0.0064229267,error 0.009897 stayed below threshold 0.016956; highest contribution from cpu at window step 5
dev_0,89,2025-01-01 07:25:00,2025-01-01 08:10:00,0,10,0.009973144,0.016955720726400614,-0.006982576567679644,0,cpu,4,0.015039057,0.010897578,0.010359326,0.007347653,0.0062221144,error 0.009973 stayed below threshold 0.016956; highest contribution from cpu at window step 4
dev_0,90,2025-01-01 07:30:00,2025-01-01 08:15:00,0,10,0.009140809,0.016955720726400614,-0.007814911659806967,0,in_octets,0,0.008386546,0.010112664,0.0127195865,0.00830215,0.006183098,error 0.009141 stayed below threshold 0.016956; highest contribution from in_octets at window step 0
dev_0,91,2025-01-01 07:35:00,2025-01-01 08:20:00,0,10,0.006681949,0.016955720726400614,-0.010273771826177835,0,memory,2,0.0051101623,0.010757323,0.008189479,0.005833071,0.0035197078,error 0.006682 stayed below threshold 0.016956; highest contribution from memory at window step 2
dev_0,92,2025-01-01 07:40:00,2025-01-01 08:25:00,0,10,0.0056734015,0.016955720726400614,-0.011282319203019142,0,memory,1,0.0047505293,0.009055727,0.004702018,0.0059241178,0.003934614,error 0.005673 stayed below threshold 0.016956; highest contribution from memory at window step 1
dev_0,93,2025-01-01 07:45:00,2025-01-01 08:30:00,0,10,0.007697044,0.016955720726400614,-0.009258676785975695,0,memory,9,0.0057255058,0.011592551,0.006676838,0.0061845323,0.008305793,error 0.007697 stayed below threshold 0.016956; highest contribution from memory at window step 9
dev_0,94,2025-01-01 07:50:00,2025-01-01 08:35:00,0,10,0.011346996,0.016955720726400614,-0.005608724895864725,0,errors,8,0.0034310822,0.0068780854,0.00871099,0.0054040113,0.03231081,error 0.011347 stayed below threshold 0.016956; highest contribution from errors at window step 8
dev_0,95,2025-01-01 07:55:00,2025-01-01 08:40:00,0,10,0.012132032,0.016955720726400614,-0.004823688883334398,0,errors,7,0.00233898,0.009965632,0.0075659542,0.0074543906,0.0333352,error 0.012132 stayed below threshold 0.016956; highest contribution from errors at window step 7
dev_0,96,2025-01-01 08:00:00,2025-01-01 08:45:00,0,10,0.012358976,0.016955720726400614,-0.004596745129674673,0,errors,6,0.0024290672,0.006218013,0.0104730865,0.011473078,0.031201627,error 0.012359 stayed below threshold 0.016956; highest contribution from errors at window step 6
dev_0,97,2025-01-01 08:05:00,2025-01-01 08:50:00,0,10,0.013193977,0.016955720726400614,-0.003761743661016226,0,errors,5,0.0047315797,0.0064275614,0.010094996,0.011492652,0.0332231,error 0.013194 stayed below threshold 0.016956; highest contribution from errors at window step 5
dev_0,98,2025-01-01 08:10:00,2025-01-01 08:55:00,0,10,0.01685134,0.016955720726400614,-0.00010438123717904091,0,errors,4,0.008722915,0.016410917,0.008807367,0.010893479,0.03942202,error 0.016851 stayed below threshold 0.016956; highest contribution from errors at window step 4
dev_0,99,2025-01-01 08:15:00,2025-01-01 09:00:00,0,10,0.01642357,0.016955720726400614,-0.0005321507342159748,0,errors,3,0.009928829,0.015317336,0.0068999217,0.010799424,0.039172344,error 0.016424 stayed below threshold 0.016956; highest contribution from errors at window step 3
dev_0,100,2025-01-01 08:20:00,2025-01-01 09:05:00,0,10,0.017219808,0.016955720726400614,0.000264087226241827,1,errors,2,0.010588938,0.014699767,0.007056209,0.014785185,0.038968947,error 0.017220 exceeded threshold 0.016956 by 0.000264; highest contribution from errors at window step 2
